6096, -32195, 1298011
-6393, -32137, 1302080
-17953, -27411, 1306149
-26905, -18703, 1310218
-31949, -7277, 1314287
-32351, 5205, 1318356
-28053, 16932, 1322425
-19680, 26198, 1326494
-8448, 31659, 1330563
4011, 32521, 1334632
15888, 28658, 1338701
25456, 20631, 1342770
31327, 9608, 1346839
32646, -2811, 1350908
29223, -14822, 1354977
21554, -24680, 1359046
10754, -30952, 1363115
-1608, -32728, 1367184
-13736, -29749, 1371253
-23870, -22448, 1375322
-30535, -11886, 1379391
-32765, 402, 1383460
-30234, 12632, 1387529
-23311, 23027, 1391598
-13002, 30077, 1395667
-804, 32757, 1399736
11511, 30679, 1403805
22154, 24143, 1407874
29578, 14101, 1411943
32705, 2009, 1416012
31082, -10374, 1420081
24942, -21250, 1424150
15180, -29039, 1428219
3212, -32609, 1432288
-9223, -31442, 1436357
-20317, -25708, 1440426
-28460, -16238, 1444495
-32469, -4410, 1448564
-31760, 8059, 1452633
-26438, 19357, 1456702
-17275, 27843, 1460771
-5602, 32285, 1464840
6885, 32036, 1468909
18371, 27133, 1472978
27189, 18288, 1477047
32057, 6786, 1481116
32267, -5701, 1485185
27790, -17360, 1489254
19276, -26497, 1493323
7962, -31785, 1497392
-4509, -32455, 1501461
-16325, -28411, 1505530
-25770, -20238, 1509599
-31470, -9126, 1513668
-32599, 3312, 1517737
-28992, 15269, 1521806
-21173, 25007, 1525875
-10278, 31113, 1529944
2110, 32699, 1534013
14191, 29534, 1538082
24211, 22079, 1542151
30714, 11417, 1546220
32755, -905, 1550289
30037, -13094, 1554358
22956, -23382, 1558427
12539, -30273, 1562496
302, -32766, 1566565
-11980, -30498, 1570634
-22521, -23801, 1574703
-29791, -13645, 1578772
-32732, -1507, 1582841
-30919, 10849, 1586910
-24613, 21630, 1590979
-14732, 29268, 1595048
-2711, 32655, 1599117
9704, 31297, 1603186
20709, 25393, 1607255
28706, 15800, 1611324
32533, 3911, 1615393
31633, -8545, 1619462
26138, -19761, 1623531
16846, -28105, 1627600
5106, -32367, 1631669
-7375, -31926, 1635738
-18785, -26848, 1639807
-27466, -17869, 1643876
-32157, -6294, 1647945
-32176, 6195, 1652014
-27521, 17784, 1656083
-18868, 26790, 1660152
-7473, 31903, 1664221
5007, 32382, 1668290
16759, 28157, 1672359
26077, 19841, 1676428
31607, 8642, 1680497
32545, -3811, 1684566
28755, -15712, 1688635
20787, -25329, 1692704
9800, -31267, 1696773
-2611, -32663, 1700842
-14643, -29313, 1704911
-24547, -21705, 1708980
-30885, -10944, 1713049
-32737, 1407, 1717118
-29832, 13554, 1721187
-22594, 23731, 1725256
-12074, 30462, 1729325
201, 32766, 1733394
12446, 30311, 1737463
22884, 23452, 1741532
29997, 13187, 1745601
32752, 1005, 1749670
30749, -11322, 1753739
24279, -22005, 1757808
14282, -29491, 1761877
2210, -32692, 1765946
-10183, -31145, 1770015
-21096, -25072, 1774084
-28945, -15358, 1778153
-32589, -3412, 1782222
-31498, 9030, 1786291
-25832, 20159, 1790360
-16413, 28360, 1794429
-4609, 32441, 1798498
7864, 31809, 1802567
19195, 26556, 1806636
27737, 17445, 1810705
32250, 5800, 1814774
32077, -6688, 1818843
27245, -18204, 1822912
18454, -27076, 1826981
6983, -32014, 1831050
